Date,Open,High,Low,Close,Adj Close,Volume
23-12-2020,13473.5,13619.45,13432.2,13601.1,13601.1,458700
24-12-2020,13672.15,13771.75,13626.9,13749.25,13749.25,471400
28-12-2020,13815.15,13885.3,13811.55,13873.2,13873.2,403600
29-12-2020,13910.35,13967.6,13859.9,13932.6,13932.6,439600
30-12-2020,13980.9,13997,13864.95,13981.95,13981.95,380700
31-12-2020,13970,14024.85,13936.45,13981.75,13981.75,452400
01-01-2021,13996.1,14049.85,13991.35,14018.5,14018.5,358100
04-01-2021,14104.35,14147.95,13953.75,14132.9,14132.9,495000
05-01-2021,14075.15,14215.6,14048.15,14199.5,14199.5,492500
06-01-2021,14240.95,14244.15,14039.9,14146.25,14146.25,632300
07-01-2021,14253.75,14256.25,14123.1,14137.35,14137.35,559200
08-01-2021,14258.4,14367.3,14221.65,14347.25,14347.25,613500
11-01-2021,14474.05,14498.2,14383.1,14484.75,14484.75,672900
12-01-2021,14473.8,14590.65,14432.85,14563.45,14563.45,929600
13-01-2021,14639.8,14653.35,14435.7,14564.85,14564.85,874000
14-01-2021,14550.05,14617.8,14471.5,14595.6,14595.6,620200
15-01-2021,14594.35,14617.45,14357.85,14433.7,14433.7,789600
18-01-2021,14453.3,14459.15,14222.8,14281.3,14281.3,762000
19-01-2021,14371.65,14546.05,14350.85,14521.15,14521.15,546100
20-01-2021,14538.3,14666.45,14517.55,14644.7,14644.7,623100
21-01-2021,14730.95,14753.55,14517.25,14590.35,14590.35,704600
22-01-2021,14583.4,14619.9,14357.75,14371.9,14371.9,776800
25-01-2021,14477.8,14491.1,14218.6,14238.9,14238.9,618600
27-01-2021,14237.95,14237.95,13929.3,13967.5,13967.5,660700
28-01-2021,13810.4,13898.25,13713.25,13817.55,13817.55,637900
29-01-2021,13946.6,13966.85,13596.75,13634.6,13634.6,753200
01-02-2021,13758.6,14336.35,13661.75,14281.2,14281.2,870500
02-02-2021,14481.1,14731.7,14469.15,14647.85,14647.85,915000
03-02-2021,14754.9,14868.85,14574.15,14789.95,14789.95,869500
04-02-2021,14789.05,14913.7,14714.75,14895.65,14895.65,884700
05-02-2021,14952.6,15014.65,14864.75,14924.25,14924.25,935600
08-02-2021,15064.3,15159.9,15041.05,15115.8,15115.8,671200
09-02-2021,15164.15,15257.1,15064.3,15109.3,15109.3,713300
10-02-2021,15119.05,15168.25,14977.2,15106.5,15106.5,624800
11-02-2021,15073.25,15188.5,15065.4,15173.3,15173.3,500100
12-02-2021,15186.2,15243.5,15081,15163.3,15163.3,571800
15-02-2021,15270.3,15340.15,15243.4,15314.7,15314.7,456000
16-02-2021,15371.45,15431.75,15242.2,15313.45,15313.45,648500
17-02-2021,15279.9,15314.3,15170.75,15208.9,15208.9,504800
18-02-2021,15238.7,15250.75,15078.05,15118.95,15118.95,770600
19-02-2021,15074.8,15144.05,14898.2,14981.75,14981.75,712200
22-02-2021,14999.05,15010.1,14635.05,14675.7,14675.7,609900
23-02-2021,14782.25,14854.5,14651.85,14707.8,14707.8,744100
24-02-2021,14729.15,15008.8,14504.5,14982,14982,403800
25-02-2021,15079.85,15176.5,15065.35,15097.35,15097.35,803900
26-02-2021,14888.6,14919.45,14467.75,14529.15,14529.15,1103600
01-03-2021,14702.5,14806.8,14638.55,14761.55,14761.55,507300
02-03-2021,14865.3,14959.1,14760.8,14919.1,14919.1,621700
03-03-2021,15064.4,15273.15,14995.8,15245.6,15245.6,544200
04-03-2021,15026.75,15202.35,14980.2,15080.75,15080.75,534900
05-03-2021,14977.95,15092.35,14862.1,14938.1,14938.1,640700
08-03-2021,15002.45,15111.15,14919.9,14956.2,14956.2,0
09-03-2021,15049.9,15126.85,14925.45,15098.4,15098.4,675300
10-03-2021,15202.15,15218.45,15100.85,15174.8,15174.8,404600
12-03-2021,15321.15,15336.3,14953.6,15030.95,15030.95,493200
15-03-2021,15048.4,15048.4,14745.85,14929.5,14929.5,467500
16-03-2021,14996.1,15051.6,14890.65,14910.45,14910.45,100
17-03-2021,14946.55,14956.55,14696.05,14721.3,14721.3,100
18-03-2021,14855.5,14875.2,14478.6,14557.85,14557.85,542200
19-03-2021,14471.15,14788.25,14350.1,14744,14744,919200
22-03-2021,14736.3,14763.9,14597.85,14736.4,14736.4,459000
23-03-2021,14768.55,14878.6,14707,14814.75,14814.75,474200
24-03-2021,14712.45,14752.35,14535,14549.4,14549.4,456400
25-03-2021,14570.9,14575.6,14264.4,14324.9,14324.9,606800
26-03-2021,14506.3,14572.9,14414.25,14507.3,14507.3,481000
30-03-2021,14628.5,14876.3,14617.6,14845.1,14845.1,594500
31-03-2021,14811.85,14813.75,14670.25,14690.7,14690.7,463900
01-04-2021,14798.4,14883.2,14692.45,14867.35,14867.35,445000
05-04-2021,14837.7,14849.85,14459.5,14637.8,14637.8,509700
06-04-2021,14737,14779.1,14573.9,14683.5,14683.5,475300
07-04-2021,14716.45,14879.8,14649.85,14819.05,14819.05,0
08-04-2021,14875.65,14984.15,14821.1,14873.8,14873.8,514800
09-04-2021,14882.65,14918.45,14785.65,14834.85,14834.85,504100
12-04-2021,14644.65,14652.5,14248.7,14310.8,14310.8,650200
13-04-2021,14364.9,14528.9,14274.9,14504.8,14504.8,605100
15-04-2021,14522.4,14597.55,14353.2,14581.45,14581.45,568000
16-04-2021,14599.6,14697.7,14559,14617.85,14617.85,577200
19-04-2021,14306.6,14382.3,14191.4,14359.45,14359.45,512300
20-04-2021,14526.7,14526.95,14207.3,14296.4,14296.4,467400
22-04-2021,14219.15,14424.75,14151.4,14406.15,14406.15,524600
23-04-2021,14326.35,14461.15,14273.3,14341.35,14341.35,498100
26-04-2021,14449.45,14557.5,14421.3,14485,14485,452700
27-04-2021,14493.8,14667.55,14484.85,14653.05,14653.05,451800
28-04-2021,14710.5,14890.25,14694.95,14864.55,14864.55,457000
29-04-2021,14979,15044.35,14814.45,14894.9,14894.9,517500
30-04-2021,14747.35,14855.45,14601.7,14631.1,14631.1,613900
03-05-2021,14481.05,14673.85,14416.25,14634.15,14634.15,448900
04-05-2021,14687.25,14723.4,14461.5,14496.5,14496.5,503400
05-05-2021,14604.15,14637.9,14506.6,14617.85,14617.85,455900
06-05-2021,14668.35,14743.9,14611.5,14724.8,14724.8,467800
